BSNY922821512141605131111100 POO2V11    111819020 EMU333 100      S            P
BX         NTY                                                                  
LOILKLEY  0805 08051         TB                                                 
LIBNRHYDN 0807 0807H     080708072        T                                     
LIBURLYIW 0811H0812H     081208122        T                                     
LIMENSTON 0815 0816      081508162        T                                     
LIGUISELY 0818H0819H     081908192        T                                     
LIAPERLYJ           0823 00000000                     1 1                       
LIARMLJCN           0830 00000000   UH                                          
LILEEDSWJ           0831H00000000   A                                           
LTLEEDS   0833 08354B    TF                                                     
