Unit,headcode,origin_loc,origin_dep_dt,cif_uid
82207,1S18,KNGX,17/03/2015 13:00,Y62247
82200,1D15,KNGX,17/03/2015 13:05,Y62058
40711,1N85,KNGX,17/03/2015 13:08,Y62205
82208,5D30,LEEDS,17/03/2015 21:59,Y62374
40732,5E25,ABRDEEN,17/03/2015 13:15,Y62416
82227,1S32,KNGX,17/03/2015 19:30,Y62279
82204,1E17,EDINBUR,17/03/2015 13:30,Y62139
82216,1N19,KNGX,17/03/2015 13:30,Y62184
82208,5E19,CRGNTNY,17/03/2015 13:41,Y62411
40704,1Y08,NWCSTLE,17/03/2015 06:00,Y62283
82220,1E18,EDINBUR,17/03/2015 14:00,Y62142
40748,1S20,KNGX,17/03/2015 14:00,Y62252
40737,1A01,LEEDS,17/03/2015 05:05,Y61949
82201,1Y86,YORK,17/03/2015 14:02,Y62306
82223,1B86,KNGX,17/03/2015 14:08,Y62026
82211,1D01,KNGX,17/03/2015 05:50,Y62033
82205,1D08,KNGX,17/03/2015 09:35,Y62044
82205,1A07,BRADFS,17/03/2015 06:30,Y61955
82205,1A29,LEEDS,17/03/2015 12:15,Y61979
82217,1N21,KNGX,17/03/2015 14:30,Y62185
82208,1E19,EDINBUR,17/03/2015 14:30,Y62145
82204,1D27,KNGX   ,17/03/2015 18:33,Y62085
82209,1D18,KNGX,17/03/2015 14:35,Y62065
82203,5S10,EDINBUR,17/03/2015 14:36,Y62473
40732,1E25,ABRDEEN,17/03/2015 14:52,Y62161
40702,1S22,KNGX,17/03/2015 15:00,Y62257
82203,5E21,CRGNTNY,17/03/2015 14:58,Y62413
67022,0Z67,BNDSGRN,17/03/2015 04:15, 81126
82222,1D19,KNGX,17/03/2015 15:05,Y62066
82215,1A37,LEEDS,17/03/2015 15:15,Y61992
82229,1N12,KNGX,17/03/2015 10:30,Y62181
82205,1S23,KNGX,17/03/2015 15:30,Y62260
82203,1E21,EDINBUR,17/03/2015 15:30,Y62150
82229,1A06,LEEDS,17/03/2015 06:40,Y61954
82229,1Y38,NWCSTLE,17/03/2015 14:25,Y62298
82212,1S02,DONC,17/03/2015 06:15,Y62209
82212,1E09,EDINBUR,17/03/2015 09:30,Y62117
40740,1D20,KNGX,17/03/2015 15:35,Y62069
